,Calvin Klein Bangkok T1 West,Calvin Klein Bangkok T2 East,Calvin Klein London Heathrow,Calvin Klein Manila Fiestamall Obsessed,Calvin Klein Manila Fiestamall One Gold,Calvin Klein Moscow Airport,Calvin Klein Mumbai Airport,Cenique - China Office Test,Circle K CWB HK,Citistore,Coty Gondola Shanghai Explorium 2.0,Easel HK Showroom,Easel Paris Showroom 2018,Easel SH Explorium 2.0,EL JP RN NFC Tester,Estee Lauder Beijing RN Tester,Estee Lauder Tokyo RN Tester,Guerlain Rouge G Champs Elysées Paris,Guerlain Rouge G Lafayette Paris,Guerlain Rouge G Langham Place HK,Guerlain Rouge G Roissy Aiport,Guerlain Rouge G Sephora Paris,Guerlain Rouge G SH Creative Days 2018,Guerlain Rouge G Sun Plaza DFS HK,Guerlain Rouge G VivaTech Paris,Hugo Boss London Heathrow,Hugo Boss Mumbai Airport,Hugo Boss Tel Aviv Airport,Jeffrey,Kiehl's Citistore Tsuen Wan HK,Kiehl's Kwun Tong APM HK,Kiehl's Langham Place HK,Kiehl's Metroplaza Kwai Chung HK,Kiehl's NTP Animation Table HK,Kiehl's Shatin New Town Plaza HK,Kiehl's Telford Plaza HK,Kiehl's Times Square HK,Kiehl's TKO Animation Table HK,Kiehl's Tuen Mun Town Plaza HK,King King Gondola 2,Kwun Tong APM Mall from 26.9.17 Onwards,Kwun Tong APM Mall - up to 26.9.18,Langham Place Mongkok,L'Oreal Paris Watson's Taiwan,Marc Jacobs London Heathrow,Mayb 15ft Chadstone Consumer Journey Melb,Mayb 15ft Chermside QLD,Mayb 15ft Fountain Gate  Melb,Mayb 15ft Marion SA,Mayb 15ft Miranda Fair NSW,Mayb 15ft Mount Gravatt QLD,Mayb 15ft Penrith NSW,Mayb 15ft Queen Street Mall Brisbane,Mayb 15ft Wollongong NSW,Mayb 15ft World Square Sydney,Mayb Wall Unit SH Creative Days 2018,Metroplaza,New Town Plaza Shatin,Philosophy Book Facesss HK,Philosophy Book Facesss Ocean Terminal,Philosophy Book Showroom HK,Shu Uemura Sogo CWB Video Wall,Telford Plaza,test,Times Square,Tuen Mun Town Plaza
2018-11-28,414,322,794,0,0,173,0,0,0,0,38,6,0,0,0,176,0,60,0,0,0,0,0,0,0,163,0,336,0,192,139,513,50,619,0,177,146,75,0,65,0,0,0,36,306,0,0,0,0,0,97,0,985,334,0,0,0,0,0,90,0,348,0,0,268,0
2018-11-29,641,374,412,0,0,111,0,0,0,0,41,4,0,0,0,195,0,118,0,0,0,0,28,0,0,181,0,520,0,202,258,809,98,982,0,326,215,184,0,0,0,0,0,31,527,0,0,0,0,0,93,0,1460,482,0,0,0,0,0,194,0,257,0,0,279,0
2018-11-30,635,347,453,0,0,164,0,0,0,0,19,0,0,0,0,140,0,182,0,0,0,0,0,0,0,157,0,305,0,204,172,900,111,1222,0,0,196,52,0,79,0,0,0,54,560,0,0,0,0,0,73,0,1556,513,0,0,0,0,0,189,0,552,0,0,17,0
2018-12-01,588,362,9,0,0,247,0,0,0,0,1,0,0,0,0,246,0,0,0,0,0,0,0,0,0,186,0,255,0,401,313,2102,196,3158,0,0,170,0,0,121,0,0,0,56,535,0,0,0,0,0,156,0,837,319,0,0,0,0,0,249,0,369,0,0,1002,0
2018-12-02,488,344,0,0,0,186,0,0,0,0,2,0,0,0,0,222,0,169,0,0,0,0,0,0,0,201,0,464,0,346,337,1515,159,2106,0,0,159,0,0,150,0,0,0,41,529,0,0,0,0,0,112,0,906,144,0,0,0,0,0,170,0,271,0,0,606,0
2018-12-03,502,276,209,0,0,142,0,0,0,0,6,1,0,0,0,162,0,101,0,0,0,0,9,0,0,193,0,367,0,156,141,843,56,897,0,0,90,0,0,72,0,0,0,28,500,0,0,0,0,0,67,0,707,179,0,0,0,0,0,120,0,182,0,0,274,0
2018-12-04,536,29,475,0,0,98,0,0,0,0,2,3,0,0,0,0,0,94,0,0,0,0,0,0,0,149,0,400,0,155,234,672,64,899,0,0,94,0,0,261,0,0,0,24,456,0,0,0,0,0,165,0,1742,237,0,0,0,0,0,116,0,381,0,0,320,0
2018-12-05,606,333,508,0,0,174,0,0,0,0,28,1,0,0,0,0,0,136,0,0,0,0,0,0,0,141,0,319,0,143,203,849,74,1054,0,0,119,0,0,88,0,0,0,99,486,0,0,0,0,0,53,0,1072,247,0,0,0,0,0,118,0,211,0,0,325,0
2018-12-06,500,213,558,0,0,161,0,0,0,0,13,22,0,0,0,0,0,134,0,0,0,0,0,0,0,141,0,438,0,256,188,838,69,978,0,0,154,0,0,110,0,0,0,43,588,0,0,0,0,0,243,0,1430,489,0,0,0,0,0,146,0,250,0,0,294,0
2018-12-07,0,0,49,0,0,139,0,0,0,0,6,24,0,0,0,179,0,120,0,0,0,0,0,0,0,14,0,0,0,313,260,1024,79,1258,0,0,216,0,0,0,255,60,0,45,453,0,0,0,0,0,0,0,800,319,0,0,0,0,0,172,0,369,0,0,30,0
2018-12-08,426,0,0,0,0,229,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,68,0,544,443,2602,151,3743,0,0,310,0,0,0,443,132,0,86,755,0,0,0,0,0,0,0,60,350,0,0,0,0,0,272,0,775,0,0,0,0
2018-12-09,466,0,0,0,0,190,0,0,0,593,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,593,209,2181,154,2406,0,0,444,0,0,0,0,0,2181,29,692,0,0,0,0,0,0,0,841,193,0,0,0,0,0,218,0,361,0,0,773,0
2018-12-10,0,364,1104,0,0,304,0,0,0,0,60,19,0,0,0,138,0,13,0,0,0,0,0,0,0,212,0,0,0,0,0,0,77,1117,0,0,106,0,0,154,0,0,0,124,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,315,0,0,373,0
2018-12-11,41,0,704,0,0,99,0,0,0,0,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,204,0,205,225,839,89,1071,0,0,114,0,0,140,0,0,0,53,621,0,0,0,0,0,35,0,151,245,0,0,0,0,0,164,0,171,0,0,403,0
2018-12-12,0,0,434,3,6,135,0,0,0,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,248,204,920,72,1062,0,0,87,0,0,90,0,0,0,4,453,0,0,0,0,0,54,0,26,0,0,0,0,0,0,167,0,278,0,0,358,0
